"","UA","Long","Lat","stage","forest.type"
"201","602",380578,7012774,"Estádio Médio de Regeneração","FOM"
"202","605",407727,7013225,"Estádio Médio de Regeneração","FOM"
"203","615",497119,7013910,"Estádio Médio de Regeneração","FOM"
"204","619",532720,7013545,"Estádio Médio de Regeneração","FOM"
"205","623",568443,7013359,"Estádio Avançado de Regeneração","FOM"
"206","624",577390,7013311,"Estádio Médio de Regeneração","FOD"
"207","625",586320,7013264,"Estádio Avançado de Regeneração","FOD"
"208","631",639952,7012998,"Estádio Médio de Regeneração","FOD"
"209","633",657766,7012566,"Estádio Avançado de Regeneração","FOD"
"210","634",666692,7012460,"Estádio Avançado de Regeneração","FOD"
"211","635",675615,7012351,"Estádio Avançado de Regeneração","FOD"
"212","636",684557,7012188,"Estádio Avançado de Regeneração","FOD"
"213","637",693400,7012022,"Estádio Avançado de Regeneração","FOD"
"214","638",702398,7011990,"Estádio Médio de Regeneração","FOD"
"215","639",711381,7011717,"Estádio Médio de Regeneração","FOD"
"216","640",720263,7011635,"Estádio Médio de Regeneração","FOD"
"217","641",729208,7011460,"Estádio Avançado de Regeneração","FOD"
"218","642",738144,7011298,"Estádio Avançado de Regeneração","FOD"
"219","660",389751,7022916,"Estádio Avançado de Regeneração","FOM"
"220","668",461443,7023769,"Estádio Avançado de Regeneração","FOM"
"221","669",470287,7023463,"Estádio Médio de Regeneração","FOM"
"222","672",496755,7023630,"Estádio Médio de Regeneração","FOM"
"223","673",505957,7023521,"Estádio Avançado de Regeneração","FOM"
"225","681",577477,7023311,"Estádio Avançado de Regeneração","FOD"
"226","682",586526,7023401,"Estádio Avançado de Regeneração","FOD"
"227","685",612954,7023064,"Estádio Médio de Regeneração","FOD"
"228","686",622143,7022935,"Estádio Médio de Regeneração","FOD"
"229","687",631304,7023020,"Estádio Médio de Regeneração","FOD"
"230","688",640217,7022553,"Estádio Avançado de Regeneração","FOD"
"232","690",657803,7022544,"Estádio Avançado de Regeneração","FOD"
"233","712",353879,7032686,"Estádio Avançado de Regeneração","FED"
"234","714",371402,7032591,"Estádio Avançado de Regeneração","FOM"
"235","717",398834,7033091,"Estádio Avançado de Regeneração","FOM"
"236","718",403597,7036602,"Estádio Avançado de Regeneração","FOM"
"237","723",452063,7033622,"Estádio Avançado de Regeneração","FOM"
"238","725",469856,7033587,"Estádio Avançado de Regeneração","FOM"
"239","727",510329,6903875,"Estádio Avançado de Regeneração","FOM"
"240","728",497832,7033664,"Estádio Avançado de Regeneração","FOM"
"241","732",532361,7033479,"Estádio Avançado de Regeneração","FOM"
"242","736",568660,7033074,"Estádio Avançado de Regeneração","FOM"
"244","739",595659,7033305,"Estádio Médio de Regeneração","FOM"
"245","742",622295,7032747,"Estádio Avançado de Regeneração","FOD"
"246","743",631182,7032809,"Estádio Médio de Regeneração","FOD"
"248","747",666868,7032548,"Estádio Avançado de Regeneração","FOD"
"250","750",693866,7032054,"Estádio Avançado de Regeneração","FOD"
"251","752",711585,7031747,"Estádio Avançado de Regeneração","FOD"
"253","784",488176,7043258,"Estádio Avançado de Regeneração","FOM"
"254","789",532730,7043389,"Estádio Médio de Regeneração","FOM"
"255","793",568622,7043273,"Estádio Médio de Regeneração","FOM"
"256","794",578345,7042714,"Estádio Avançado de Regeneração","FOM"
"257","795",586333,7042992,"Estádio Médio de Regeneração","FOD"
"258","796",595476,7043099,"Estádio Avançado de Regeneração","FOD"
"261","801",640082,7042535,"Estádio Avançado de Regeneração","FOD"
"262","802",649179,7042591,"Estádio Médio de Regeneração","FOD"
"268","832",407416,7053111,"Estádio Avançado de Regeneração","FOM"
"269","836",442995,7053114,"Estádio Médio de Regeneração","FOM"
"270","837",452208,7053630,"Estádio Médio de Regeneração","FOM"
"271","843",524755,7052872,"Estádio Avançado de Regeneração","FOM"
"272","845",541802,7053286,"Estádio Médio de Regeneração","FOM"
"273","847",559712,7053287,"Estádio Avançado de Regeneração","FOM"
"274","850",586592,7053132,"Estádio Médio de Regeneração","FOM"
"275","852",604510,7053001,"Estádio Médio de Regeneração","FOM"
"277","856",640342,7052664,"Estádio Avançado de Regeneração","FOM"
"278","857",649304,7052561,"Estádio Avançado de Regeneração","FOD"
"279","858",658123,7052641,"Estádio Avançado de Regeneração","FOD"
"283","886",496675,6919190,"Estádio Médio de Regeneração","FOM"
"284","887",497224,7063018,"Estádio Avançado de Regeneração","FOM"
"285","894",559789,7063513,"Estádio Médio de Regeneração","FOM"
"286","895",568461,7063060,"Estádio Médio de Regeneração","FOM"
"287","899",604911,7063015,"Estádio Avançado de Regeneração","FOD"
"288","901",622441,7062830,"Estádio Avançado de Regeneração","FOM"
"289","902",631481,7062721,"Estádio Avançado de Regeneração","FOM"
"291","906",667354,7062307,"Estádio Médio de Regeneração","FOD"
"292","907",676713,7061929,"Estádio Médio de Regeneração","FOD"
"294","912",721474,7061673,"Estádio Avançado de Regeneração","FOD"
"296","918",272537,7071222,"Estádio Médio de Regeneração","FED"
"297","926",344058,7072362,"Estádio Avançado de Regeneração","FOM"
"298","933",497009,7073361,"Estádio Médio de Regeneração","FOM"
"299","934",505892,7073176,"Estádio Avançado de Regeneração","FOM"
"300","939",550932,7073307,"Estádio Avançado de Regeneração","FOM"
"302","945",604786,7072899,"Estádio Médio de Regeneração","FOM"
"303","946",613802,7072914,"Estádio Médio de Regeneração","FOM"
"304","949",640521,7072621,"Estádio Médio de Regeneração","FOM"
"306","953",676170,7072162,"Estádio Avançado de Regeneração","FOD"
"307","955",694225,7071639,"Estádio Médio de Regeneração","FOD"
"309","974",506184,7083208,"Estádio Médio de Regeneração","FOM"
"310","976",523348,7082969,"Estádio Médio de Regeneração","FOM"
"311","978",541866,7082019,"Estádio Avançado de Regeneração","FOM"
"312","979",551020,7083144,"Estádio Médio de Regeneração","FOM"
"313","982",577813,7083086,"Estádio Médio de Regeneração","FOM"
"314","984",595772,7082975,"Estádio Médio de Regeneração","FOM"
"315","991",658634,7082380,"Estádio Avançado de Regeneração","FOD"
"319","995",694690,7081906,"Estádio Avançado de Regeneração","FOD"
"320","997",712523,7081585,"Estádio Médio de Regeneração","FOD"
"323","1003",272161,7091040,"Estádio Médio de Regeneração","FOM"
"324","1010",550360,7093341,"Estádio Médio de Regeneração","FOM"
"325","1013",577876,7093073,"Estádio Avançado de Regeneração","FOM"
"326","1016",604852,7093203,"Estádio Avançado de Regeneração","FOM"
"327","1019",631660,7092705,"Estádio Avançado de Regeneração","FOM"
"328","1024",676902,7092314,"Estádio Médio de Regeneração","FOM"
"329","1025",685721,7091972,"Estádio Avançado de Regeneração","FOD"
"333","1034",550840,7103106,"Estádio Médio de Regeneração","FOM"
"334","1042",622895,7102689,"Estádio Médio de Regeneração","FOM"
"336","1048",695066,7101518,"Estádio Avançado de Regeneração","FOD"
"337","1049",703855,7101672,"Estádio Avançado de Regeneração","FOD"
"338","1052",730844,7101220,"Estádio Avançado de Regeneração","FOD"
"339","1055",551086,7113054,"Estádio Médio de Regeneração","FOM"
"340","1059",586700,7112619,"Estádio Avançado de Regeneração","FOM"
"341","1061",604915,7112851,"Estádio Avançado de Regeneração","FOM"
"342","1062",479052,6933420,"Estádio Médio de Regeneração","FOM"
"343","1063",677139,7112165,"Estádio Avançado de Regeneração","FOM"
"344","1065",695009,7111784,"Estádio Avançado de Regeneração","FOD"
"345","1066",704054,7111686,"Estádio Avançado de Regeneração","FOD"
"346","1068",721981,7111324,"Estádio Avançado de Regeneração","FOD"
"348","1072",713178,7121471,"Estádio Avançado de Regeneração","FOD"
"349","1073",722186,7121469,"Estádio Médio de Regeneração","FOD"
"350","1074",731199,7121164,"Estádio Avançado de Regeneração","FOD"
"352","1187",470204,6943782,"Estádio Avançado de Regeneração","FED"
"353","1188",474309,6943847,"Estádio Médio de Regeneração","FED"
"354","1190",483943,6943400,"Estádio Avançado de Regeneração","FOM"
"355","1191",488102,6943976,"Estádio Médio de Regeneração","FOM"
"356","1195",505919,6943782,"Estádio Médio de Regeneração","FOM"
"357","1249",457295,6948493,"Estádio Médio de Regeneração","FED"
"358","1318",448156,6953621,"Estádio Avançado de Regeneração","FED"
"360","1461",421438,6963447,"Estádio Médio de Regeneração","FED"
"361","1536",403611,6968242,"Estádio Médio de Regeneração","FED"
"362","1542",430205,6968500,"Estádio Médio de Regeneração","FED"
"363","1616",412475,6973357,"Estádio Avançado de Regeneração","FED"
"364","1618",421275,6973438,"Estádio Médio de Regeneração","FED"
"366","1693",403562,6978412,"Estádio Médio de Regeneração","FED"
"368","1703",447956,6978002,"Estádio Médio de Regeneração","FED"
"369","1770",332205,6982532,"Estádio Médio de Regeneração","FED"
"371","1775",385676,6983131,"Estádio Avançado de Regeneração","FED"
"372","1787",439191,6983723,"Estádio Avançado de Regeneração","FED"
"373","1859",349979,6987736,"Estádio Médio de Regeneração","FED"
"374","1861",359234,6988064,"Estádio Médio de Regeneração","FED"
"375","1864",372063,6988039,"Estádio Avançado de Regeneração","FED"
"376","1869",394548,6988291,"Estádio Avançado de Regeneração","FED"
"377","1959",345228,6993131,"Estádio Médio de Regeneração","FED"
"378","1961",354319,6992964,"Estádio Avançado de Regeneração","FED"
"380","1970",394361,6993287,"Estádio Médio de Regeneração","FED"
"381","1980",439328,6993546,"Estádio Avançado de Regeneração","FOM"
"382","2001",569741,7100144,"Estádio Avançado de Regeneração","FOM"
"383","2002",570586,7100232,"Estádio Avançado de Regeneração","FOM"
"384","2051",224837,6995536,"Estádio Médio de Regeneração","FED"
"386","2077",354319,6997760,"Estádio Médio de Regeneração","FED"
"388","2081",372159,6997955,"Estádio Médio de Regeneração","FED"
"389","2083",381153,6998121,"Estádio Avançado de Regeneração","FED"
"390","2088",403378,6998237,"Estádio Avançado de Regeneração","FED"
"391","2099",452327,6998543,"Estádio Avançado de Regeneração","FED"
"392","2100",456893,6998537,"Estádio Médio de Regeneração","FED"
"393","2101",461379,6998462,"Estádio Médio de Regeneração","FED"
"394","2166",234066,7000984,"Estádio Médio de Regeneração","FED"
"396","2172",260529,7001403,"Estádio Médio de Regeneração","FED"
"397","2179",291781,7001697,"Estádio Médio de Regeneração","FED"
"398","2194",363244,7002815,"Estádio Médio de Regeneração","FED"
"399","2195",367862,7002599,"Estádio Médio de Regeneração","FED"
"400","2216",461150,7003378,"Estádio Médio de Regeneração","FED"
"401","2281",233654,7005866,"Estádio Médio de Regeneração","FED"
"402","2287",260358,7006012,"Estádio Médio de Regeneração","FED"
"403","2294",291739,7006971,"Estádio Médio de Regeneração","FED"
"404","2310",363172,7007828,"Estádio Avançado de Regeneração","FED"
"405","2406",278138,7011882,"Estádio Médio de Regeneração","FED"
"406","2414",313816,7012323,"Estádio Avançado de Regeneração","FED"
"408","2510",233380,7015545,"Estádio Médio de Regeneração","FED"
"409","2512",242337,7015904,"Estádio Médio de Regeneração","FED"
"411","2530",322933,7017429,"Estádio Médio de Regeneração","FED"
"412","2531",327281,7017360,"Estádio Avançado de Regeneração","FED"
"415","2987",349292,7037756,"Estádio Avançado de Regeneração","FED"
"416","3001",577053,7096256,"Estádio Avançado de Regeneração","FOM"
"417","3002",577011,7096705,"Estádio Avançado de Regeneração","FOM"
"418","3082",260240,7041324,"Estádio Médio de Regeneração","FED"
"419","3097",326939,7042293,"Estádio Avançado de Regeneração","FED"
"421","3309",272983,7051350,"Estádio Avançado de Regeneração","FED"
"422","3414",259192,7056491,"Estádio Avançado de Regeneração","FED"
"423","3416",268275,7056227,"Estádio Médio de Regeneração","FED"
"424","3427",317882,7057519,"Estádio Avançado de Regeneração","FED"
"426","4000",503577,7028932,"Estádio Avançado de Regeneração","FOM"
"427","5000",486523,6937030,"Estádio Avançado de Regeneração","FOM"
"428","6001",271826,7088081,"Estádio Avançado de Regeneração","FOM"
"429","6002",271037,7085899,"Estádio Avançado de Regeneração","FOM"
"430","6003",270717,7077900,"Estádio Avançado de Regeneração","FOM"
"431","6004",270456,7074337,"Estádio Avançado de Regeneração","FOM"
"432","6005",262987,7069866,"Estádio Avançado de Regeneração","FED"
"433","7001",343369,7071329,"Estádio Avançado de Regeneração","FOM"
"434","7002",344080,7071835,"Estádio Avançado de Regeneração","FOM"
"435","8003",743769,6931645,"Estádio Avançado de Regeneração","FOD"
"438","8011",719953,7119110,"Estádio Avançado de Regeneração","FOD"
"447","1056",559996,7113104,"Estádio Médio de Regeneração","FOM"
