"","UA","area.floresta1500","area.floresta1000","area.floresta750","area.floresta500","eucl1500","eucl1000","eucl750","eucl500","X.y","bdodmean","cecmean","claymean","nitrogenmean","phh2omean","sandmean","bio1","bio5","bio4","bio6","bio7","bio12","bio13","bio14","bio15","elev","X (Longitude)","Y (Latitude)","Freq","FT","stage","X","dur_uso_anos","n.changes","freq.fire","forest.type"
"228","718",693.36,302.13,173.34,78.57,2991.73862494704,3964.08879819814,4519.7566306163,4969.59756922027,277,0.095,1.868,4.932,0.327,0.51,1.617,2906,2988,3026,2823,165,21329,2429,1289,164,921,403597,7036602,96.8431771894094,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",270,17,8,2,"FOM"
"229","723",425.25,212.22,136.08,68.04,180,180,360,12668.2792833123,278,0.092,2.005,5.633,0.337,0.52,1.212,2884,2968,2956,2803,165,26385,2863,1551,179,1328,452063,7033622,70.0280112044818,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",271,25,10,11,"FOM"
"230","725",350.73,215.46,135.27,72.9,201.246117974981,8190.49449056649,8734.17425976835,9187.05611172589,279,0.096,2.148,5.752,0.322,0.512,1.315,2899,2986,3089,2814,172,19324,2056,1164,165,936,469856,7033587,66.8702290076336,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",272,31,11,3,"FOM"
"231","727",451.98,148.23,76.95,43.74,180,180,180,180,280,0.098,1.818,5.222,0.285,0.51,1.823,2895,2987,3336,2806,181,15260,1493,910,137,880,510329,6903875,66.3383838383838,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Avançado de Regeneração",273,6,10,2,"FOM"
"232","728",417.96,218.7,144.99,69.66,180,201.246117974981,5994.29728992482,6502.46107254784,281,0.094,1.8,5.44,0.289,0.5,1.548,2904,2992,3155,2818,174,17553,1829,1094,154,865,497832,7033664,69.3955623565417,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",274,17,16,5,"FOM"
"233","732",339.39,170.91,116.64,55.89,180,180,8567.03566001683,284.604989415154,282,0.095,1.87,5.687,0.28,0.5,1.593,2885,2970,2975,2805,165,20195,2196,1248,180,1179,532361,7033479,54.4387755102041,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",275,22,12,5,"FOM"
"235","736",377.46,183.87,111.78,53.46,180,180,270,7652.11735403999,284,0.093,2.5,4.873,0.36,0.507,1.917,2876,2960,2904,2794,166,24679,2766,1474,212,1286,568660,7033074,54.513094330028,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",277,27,9,1,"FOM"
"236","739",16.2,16.2,16.2,16.2,180,180,180,180,286,0.102,2.107,4.45,0.339,0.51,2.457,2915,3003,3246,2824,179,17428,2009,1014,227,564,595659,7033305,16.9003313790466,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",278,23,12,1,"FOM"
"237","742",560.52,226.8,125.55,47.79,5940,180,7470,180,287,0.098,1.862,5.145,0.374,0.51,2.127,2908,2993,3129,2821,172,15415,1785,929,211,718,622295,7032747,72.9660800816118,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",279,23,9,3,"FOD"
"238","743",673.92,293.22,160.38,71.28,5940,6930,7470,8010,288,0.101,2.168,4.48,0.351,0.505,2.295,2920,3006,3270,2832,174,14748,1751,884,215,372,631182,7032809,92.5586136595311,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",280,12,8,7,"FOD"
"240","750",523.26,286.74,170.91,79.38,180,8010,8550,9090,292,0.103,1.948,4.025,0.299,0.495,2.372,2929,3007,3094,2846,161,15707,2181,845,295,250,693866,7032054,91.0040774719674,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",284,19,11,1,"FOD"
"241","752",420.39,216.27,94.77,46.98,270,7205.06072146516,201.246117974981,254.558441227157,293,0.103,2.192,4.038,0.332,0.485,2.515,2933,3003,3069,2858,145,18724,2562,949,296,75,711585,7031747,65.8859470468432,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",285,18,15,2,"FOD"
"243","784",405,225.99,149.85,72.9,180,201.246117974981,8370,8910,295,0.088,2.162,6.252,0.355,0.51,1.063,2877,2964,2955,2795,169,21473,2262,1301,161,1372,488176,7043258,71.0211357270181,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",287,24,11,3,"FOM"
"244","789",308.61,167.67,113.4,47.79,180,180,180,180,296,0.094,1.933,4.993,0.301,0.5,1.568,2894,2980,3011,2812,168,18892,2062,1146,190,1030,532730,7043389,52.015306122449,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",288,17,10,5,"FOM"
"245","793",540.27,263.25,127.17,61.56,180,7830,180,201.246117974981,297,0.095,2.097,5.24,0.385,0.49,1.663,2902,2988,3061,2817,171,20736,2320,1249,216,870,568622,7043273,79.9540347293156,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",289,15,11,2,"FOM"
"246","794",617.22,275.4,153.9,72.9,5052.84078514255,6120,6660,7025.19038887915,298,0.098,2.51,4.768,0.296,0.51,1.998,2907,2994,3127,2820,174,19315,2188,1147,222,817,578345,7042714,86.0969387755102,"Floresta Ombrófila Mista/Floresta Ombrófila Densa","Estádio Avançado de Regeneração",290,23,10,3,"FOM"
"247","795",266.49,148.23,85.05,43.74,180,180,180,180,299,0.096,1.783,5.398,0.374,0.512,1.858,2908,2995,3140,2820,175,17728,2019,1047,220,651,586333,7042992,48.8650854373884,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",291,29,11,3,"FOD"
